"";"kingdom";"phylum";"class";"order";"family";"genus";"species"
"FU00001";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"Olpidiaceae";"Olpidium";"Olpidium_sp"
"FU00002";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"unclassified"
"FU00003";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"Olpidiaceae";"Olpidium";"Olpidium_brassicae"
"FU00004";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Endophoma";"Endophoma_sp"
"FU00005";"Fungi";"Basidiomycota";"Tremellomycetes";"Cystofilobasidiales";"Cystofilobasidiaceae";"Guehomyces";"Guehomyces_sp"
"FU00006";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"unclassified_Olpidiales";"unclassified_Olpidiales";"unclassified_Olpidiales"
"FU00007";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_sp"
"FU00008";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_elongata"
"FU00009";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Hyaloscyphaceae";"Calycina";"Calycina_sp"
"FU00010";"Fungi";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Ceratobasidiaceae";"Thanatephorus";"Thanatephorus_sp"
"FU00011";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00012";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Paraphoma";"Paraphoma_sp"
"FU00013";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"unclassified"
"FU00014";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"unclassified_Pleosporales";"unclassified_Pleosporales";"unclassified_Pleosporales"
"FU00015";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"Tetracladium_marchalianum"
"FU00016";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Neonectria";"Neonectria_sp"
"FU00017";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Ilyonectria";"Ilyonectria_sp"
"FU00018";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Hyaloscyphaceae";"Calycina";"unclassified"
"FU00019";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"unclassified_Nectriaceae";"unclassified_Nectriaceae"
"FU00020";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00021";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"unclassified_Helotiales";"unclassified_Helotiales";"unclassified_Helotiales"
"FU00022";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00023";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"unclassified_Didymellaceae";"unclassified_Didymellaceae"
"FU00024";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"Olpidiaceae";"Olpidium";"Olpidium_brassicae"
"FU00025";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_elongata"
"FU00027";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_exigua"
"FU00028";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Stagonosporopsis";"unclassified"
"FU00029";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"unclassified_Didymellaceae";"unclassified_Didymellaceae"
"FU00030";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusicolla";"Fusicolla_sp"
"FU00031";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_alpina"
"FU00032";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Boeremia";"Boeremia_sp"
"FU00033";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales"
"FU00034";"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Tricholomataceae";"Arrhenia";"Arrhenia_sp"
"FU00035";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiales_fam_Incertae_sedis";"Cadophora";"Cadophora_sp"
"FU00036";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Didymella";"Didymella_sp"
"FU00037";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"unclassified_Helotiales";"unclassified_Helotiales";"unclassified_Helotiales"
"FU00038";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00039";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"unclassified"
"FU00040";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"unclassified_Sordariales";"unclassified_Sordariales";"unclassified_Sordariales"
"FU00041";"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Psathyrellaceae";"Coprinellus";"Coprinellus_sp"
"FU00042";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Hyaloscyphaceae";"unclassified_Hyaloscyphaceae";"unclassified_Hyaloscyphaceae"
"FU00043";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Torulaceae";"Dendryphion";"Dendryphion_sp"
"FU00044";"Fungi";"Glomeromycota";"Glomeromycetes";"Glomerales";"Glomeraceae";"Funneliformis";"Funneliformis_mosseae"
"FU00045";"Fungi";"Basidiomycota";"Agaricomycetes";"unclassified_Agaricomycetes";"unclassified_Agaricomycetes";"unclassified_Agaricomycetes";"unclassified_Agaricomycetes"
"FU00046";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_elongata"
"FU00047";"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"unclassified_Agaricales";"unclassified_Agaricales";"unclassified_Agaricales"
"FU00048";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Knufia";"unclassified"
"FU00049";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Hyaloscyphaceae";"Cistella";"Cistella_sp"
"FU00050";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"Fusarium_sp"
"FU00051";"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Cladosporiaceae";"Cladosporium";"Cladosporium_sp"
"FU00052";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_alpina"
"FU00053";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"unclassified_Helotiales";"unclassified_Helotiales";"unclassified_Helotiales"
"FU00054";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00055";"Fungi";"Ascomycota";"Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes"
"FU00056";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_alpina"
"FU00057";"Fungi";"Glomeromycota";"Glomeromycetes";"Glomerales";"Glomeraceae";"unclassified_Glomeraceae";"unclassified_Glomeraceae"
"FU00058";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Gibberella";"Gibberella_sp"
"FU00059";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00060";"Fungi";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Ceratobasidiaceae";"Thanatephorus";"Thanatephorus_cucumeris"
"FU00061";"Fungi";"Basidiomycota";"Tremellomycetes";"Filobasidiales";"Piskurozymaceae";"Solicoccozyma";"Solicoccozyma_sp"
"FU00062";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Bradymyces";"Bradymyces_sp"
"FU00063";"Fungi";"Ascomycota";"Orbiliomycetes";"Orbiliales";"Orbiliales_fam_Incertae_sedis";"Lecophagus";"Lecophagus_sp"
"FU00064";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiales_fam_Incertae_sedis";"Mycoarthris";"Mycoarthris_sp"
"FU00065";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"unclassified_Mortierellales";"unclassified_Mortierellales";"unclassified_Mortierellales"
"FU00066";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Exophiala";"Exophiala_equina"
"FU00067";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU00068";"Fungi";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Plectosphaerella";"Plectosphaerella_sp"
"FU00069";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU00070";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"unclassified_Pleosporales";"unclassified_Pleosporales";"unclassified_Pleosporales"
"FU00071";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00072";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_alpina"
"FU00073";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Didymella";"unclassified"
"FU00074";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales"
"FU00075";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"Olpidiaceae";"Olpidium";"Olpidium_brassicae"
"FU00076";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00077";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleomassariaceae";"Tumularia";"Tumularia_sp"
"FU00078";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"unclassified_Helotiales";"unclassified_Helotiales";"unclassified_Helotiales"
"FU00079";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_minutissima"
"FU00080";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"Olpidiaceae";"Olpidium";"Olpidium_brassicae"
"FU00081";"Fungi";"Glomeromycota";"Glomeromycetes";"Glomerales";"Glomeraceae";"Dominikia";"Dominikia_sp"
"FU00082";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Knufia";"unclassified"
"FU00083";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"unclassified_Didymellaceae";"unclassified_Didymellaceae"
"FU00084";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00085";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"Tetracladium_marchalianum"
"FU00086";"Fungi";"Glomeromycota";"Glomeromycetes";"Glomerales";"Glomeraceae";"Funneliformis";"Funneliformis_mosseae"
"FU00087";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"unclassified_Pleosporales";"unclassified_Pleosporales";"unclassified_Pleosporales"
"FU00088";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Arthopyreniaceae";"Arthopyrenia";"Arthopyrenia_sp"
"FU00089";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_alpina"
"FU00090";"Fungi";"Ascomycota";"Dothideomycetes";"Tubeufiales";"Tubeufiaceae";"unclassified_Tubeufiaceae";"unclassified_Tubeufiaceae"
"FU00091";"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Psathyrellaceae";"Coprinellus";"unclassified"
"FU00092";"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"unclassified_Agaricales";"unclassified_Agaricales";"unclassified_Agaricales"
"FU00093";"Fungi";"Ascomycota";"Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes"
"FU00094";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Lasiosphaeriaceae";"unclassified_Lasiosphaeriaceae";"unclassified_Lasiosphaeriaceae"
"FU00095";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00096";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_amoeboidea"
"FU00097";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Morosphaeriaceae";"Acrocalymma";"Acrocalymma_sp"
"FU00098";"Fungi";"Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota";"unclassified_Basidiomycota"
"FU00099";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"unclassified_Didymellaceae";"unclassified_Didymellaceae"
"FU00100";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"unclassified"
"FU00101";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00102";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Glarea";"Glarea_sp"
"FU00103";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Rutstroemiaceae";"unclassified_Rutstroemiaceae";"unclassified_Rutstroemiaceae"
"FU00104";"Fungi";"Ascomycota";"Sordariomycetes";"Myrmecridiales";"Myrmecridiaceae";"Myrmecridium";"Myrmecridium_sp"
"FU00105";"Fungi";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Ceratobasidiaceae";"Thanatephorus";"Thanatephorus_cucumeris"
"FU00106";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00107";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Bradymyces";"Bradymyces_sp"
"FU00108";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"Tetracladium_sp"
"FU00109";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00110";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"unclassified_Chaetomiaceae";"unclassified_Chaetomiaceae"
"FU00111";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Stagonosporopsis";"Stagonosporopsis_sp"
"FU00112";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"Tetracladium_marchalianum"
"FU00113";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_fimbricystis"
"FU00114";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_sclerotiella"
"FU00115";"Fungi";"Basidiomycota";"Agaricomycetes";"Russulales";"Peniophoraceae";"Subulicystidium";"Subulicystidium_sp"
"FU00116";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"Tetracladium_marchalianum"
"FU00117";"Fungi";"Glomeromycota";"Glomeromycetes";"Glomerales";"Glomeraceae";"Funneliformis";"Funneliformis_mosseae"
"FU00118";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00119";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00120";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleosporales_fam_Incertae_sedis";"Pseudorobillarda";"Pseudorobillarda_sp"
"FU00121";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiales_fam_Incertae_sedis";"Mycoarthris";"Mycoarthris_corallina"
"FU00122";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"Tetracladium_marchalianum"
"FU00123";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Hypocreales_fam_Incertae_sedis";"Acremonium";"Acremonium_nepalense"
"FU00124";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"unclassified_Helotiales";"unclassified_Helotiales";"unclassified_Helotiales"
"FU00125";"Fungi";"Ascomycota";"Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes";"unclassified_Sordariomycetes"
"FU00126";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Chaetomium";"unclassified"
"FU00127";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Knufia";"unclassified"
"FU00128";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"Tetracladium_marchalianum"
"FU00129";"Fungi";"Basidiomycota";"Pucciniomycetes";"unclassified_Pucciniomycetes";"unclassified_Pucciniomycetes";"unclassified_Pucciniomycetes";"unclassified_Pucciniomycetes"
"FU00130";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"unclassified"
"FU00131";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Hyaloscyphaceae";"Calycina";"unclassified"
"FU00132";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Gibberella";"Gibberella_intricans"
"FU00133";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00134";"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Mycosphaerellaceae";"Mycosphaerella";"Mycosphaerella_sp"
"FU00135";"Fungi";"Basidiomycota";"Agaricomycetes";"Polyporales";"Ganodermataceae";"Ganoderma";"Ganoderma_sp"
"FU00136";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Volutella";"Volutella_sp"
"FU00137";"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Cladosporiaceae";"Cladosporium";"unclassified"
"FU00138";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Phaeosphaeria";"Phaeosphaeria_sp"
"FU00139";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"unclassified_Didymellaceae";"unclassified_Didymellaceae"
"FU00140";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00141";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00142";"Fungi";"Glomeromycota";"Glomeromycetes";"Glomerales";"Glomeraceae";"unclassified_Glomeraceae";"unclassified_Glomeraceae"
"FU00143";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Ophiocordycipitaceae";"Tolypocladium";"Tolypocladium_inflatum"
"FU00144";"Fungi";"Glomeromycota";"Glomeromycetes";"Glomerales";"Glomeraceae";"unclassified_Glomeraceae";"unclassified_Glomeraceae"
"FU00145";"Fungi";"Basidiomycota";"Tremellomycetes";"Filobasidiales";"Filobasidiaceae";"Filobasidium";"Filobasidium_wieringae"
"FU00146";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"Olpidiaceae";"Olpidium";"Olpidium_brassicae"
"FU00147";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"unclassified_Helotiales";"unclassified_Helotiales";"unclassified_Helotiales"
"FU00148";"Fungi";"Basidiomycota";"Agaricomycetes";"Cantharellales";"Ceratobasidiaceae";"unclassified_Ceratobasidiaceae";"unclassified_Ceratobasidiaceae"
"FU00149";"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Cladosporiaceae";"Cladosporium";"unclassified"
"FU00150";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Endophoma";"Endophoma_elongata"
"FU00151";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00152";"Fungi";"Basidiomycota";"Pucciniomycetes";"unclassified_Pucciniomycetes";"unclassified_Pucciniomycetes";"unclassified_Pucciniomycetes";"unclassified_Pucciniomycetes"
"FU00153";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00154";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Chaetomium";"Chaetomium_nigricolor"
"FU00155";"Fungi";"Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota"
"FU00156";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"unclassified"
"FU00157";"Fungi";"Ascomycota";"Orbiliomycetes";"Orbiliales";"Orbiliales_fam_Incertae_sedis";"Lecophagus";"Lecophagus_longisporus"
"FU00158";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00159";"Fungi";"Glomeromycota";"Glomeromycetes";"Glomerales";"Glomeraceae";"unclassified_Glomeraceae";"unclassified_Glomeraceae"
"FU00160";"Fungi";"Ascomycota";"Pezizomycetes";"Pezizales";"Tuberaceae";"Tuber";"Tuber_sp"
"FU00161";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Humicola";"Humicola_sp"
"FU00162";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Epicoccum";"Epicoccum_sp"
"FU00163";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_gamsii"
"FU00164";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleosporales_fam_Incertae_sedis";"Pseudorobillarda";"Pseudorobillarda_sp"
"FU00165";"Fungi";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Plectosphaerella";"Plectosphaerella_cucumerina"
"FU00166";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Stachybotryaceae";"unclassified_Stachybotryaceae";"unclassified_Stachybotryaceae"
"FU00167";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"Olpidiaceae";"Olpidium";"Olpidium_brassicae"
"FU00168";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00169";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Knufia";"unclassified"
"FU00170";"Fungi";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Plectosphaerella";"unclassified"
"FU00171";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Thyridariaceae";"unclassified_Thyridariaceae";"unclassified_Thyridariaceae"
"FU00172";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00173";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Melanommataceae";"unclassified_Melanommataceae";"unclassified_Melanommataceae"
"FU00174";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00175";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Biatriosporaceae";"Biatriospora";"Biatriospora_mackinnonii"
"FU00176";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Cylindrocarpon";"Cylindrocarpon_sp"
"FU00177";"Fungi";"Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota"
"FU00178";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_alpina"
"FU00179";"Fungi";"Basidiomycota";"Tremellomycetes";"Cystofilobasidiales";"Cystofilobasidiaceae";"Guehomyces";"Guehomyces_pullulans"
"FU00180";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Tetracladium";"Tetracladium_sp"
"FU00181";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Knufia";"Knufia_tsunedae"
"FU00182";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU00183";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Chaetomium";"Chaetomium_acropullum"
"FU00184";"Fungi";"Olpidiomycota";"Olpidiomycetes";"Olpidiales";"Olpidiaceae";"Olpidium";"Olpidium_brassicae"
"FU00185";"Fungi";"Mortierellomycota";"unclassified_Mortierellomycota";"unclassified_Mortierellomycota";"unclassified_Mortierellomycota";"unclassified_Mortierellomycota";"unclassified_Mortierellomycota"
"FU00186";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"Glarea";"Glarea_sp"
"FU00187";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiaceae";"unclassified_Helotiaceae";"unclassified_Helotiaceae"
"FU00188";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Fusarium";"unclassified"
"FU00189";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales"
