"";"kingdom";"phylum";"class";"order";"family";"genus";"species"
"FU02320";"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Tricholomataceae";"Calyptella";"Calyptella_capula"
"FU02321";"Fungi";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Plectosphaerella";"Plectosphaerella_cucumerina"
"FU02322";"Fungi";"Ascomycota";"Orbiliomycetes";"unclassified_Orbiliomycetes";"unclassified_Orbiliomycetes";"unclassified_Orbiliomycetes";"unclassified_Orbiliomycetes"
"FU02323";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02324";"Fungi";"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Lipomycetaceae";"Lipomyces";"unclassified"
"FU02325";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02326";"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";"Chaetomium";"Chaetomium_sp"
"FU02327";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_parvispora"
"FU02328";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"unclassified_Helotiales";"unclassified_Helotiales";"unclassified_Helotiales"
"FU02329";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"unclassified_Herpotrichiellaceae";"unclassified_Herpotrichiellaceae"
"FU02330";"Fungi";"Ascomycota";"Lecanoromycetes";"Lecanorales";"Lecanoraceae";"unclassified_Lecanoraceae";"unclassified_Lecanoraceae"
"FU02331";"Fungi";"Basidiomycota";"Tremellomycetes";"Tremellales";"unclassified_Tremellales";"unclassified_Tremellales";"unclassified_Tremellales"
"FU02332";"Fungi";"Basidiomycota";"Microbotryomycetes";"Leucosporidiales";"Leucosporidiaceae";"Leucosporidium";"Leucosporidium_fragarium"
"FU02333";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Bradymyces";"Bradymyces_sp"
"FU02334";"Fungi";"Ascomycota";"Sordariomycetes";"Xylariales";"Diatrypaceae";"Cryptovalsa";"Cryptovalsa_sp"
"FU02335";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02336";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Knufia";"Knufia_marmoricola"
"FU02337";"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Ophiocordycipitaceae";"Tolypocladium";"unclassified"
"FU02338";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales";"unclassified_Chaetothyriales"
"FU02339";"Fungi";"Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota";"unclassified_Ascomycota"
"FU02340";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02341";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Rhinocladiella";"Rhinocladiella_sp"
"FU02342";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"Didymella";"unclassified"
"FU02343";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Helotiales_fam_Incertae_sedis";"unclassified_Helotiales_fam_Incertae_sedis";"unclassified_Helotiales_fam_Incertae_sedis"
"FU02344";"Fungi";"Ascomycota";"Pezizomycetes";"Pezizales";"Tuberaceae";"Tuber";"Tuber_borchii"
"FU02345";"Fungi";"Ascomycota";"Sordariomycetes";"Glomerellales";"Plectosphaerellaceae";"Plectosphaerella";"Plectosphaerella_cucumerina"
"FU02346";"Fungi";"Basidiomycota";"Agaricomycetes";"Sebacinales";"Serendipitaceae";"unclassified_Serendipitaceae";"unclassified_Serendipitaceae"
"FU02347";"Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi";"unclassified_Fungi"
"FU02348";"Fungi";"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Trichomeriaceae";"Knufia";"Knufia_peltigerae"
"FU02349";"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"Mortierella_antarctica"
"FU02350";"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";"unclassified_Didymellaceae";"unclassified_Didymellaceae"
