group;kingdom;phylum;class;order;family;genus;species
ASV00620;Fungi(100);Ascomycota(100);Lecanoromycetes(100);Teloschistales(100);Teloschistaceae(100);Flavoplaca(88);Flavoplaca_sp(88)
ASV00621;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Hypocreales_fam_Incertae_sedis(100);Trichothecium(100);Trichothecium_crotocinigenum(97)
ASV00622;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Cordycipitaceae(100);Beauveria(99);Beauveria_pseudobassiana(88)
ASV00623;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);Dictyosporiaceae(100);Dictyosporium(68);unclassified
ASV00624;Fungi(100);Basidiomycota(100);Agaricomycetes(100);Cantharellales(100);Ceratobasidiaceae(100);unclassified_Ceratobasidiaceae(77);Ceratobasidiaceae_sp(77)
ASV00625;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00626;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00627;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00628;Fungi(100);Ascomycota(100);Sordariomycetes(98);Sordariales(97);Lasiosphaeriaceae(97);Podospora(73);Podospora_longicollis(60)
ASV00629;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Clavicipitaceae(100);Metarhizium(100);Metarhizium_carneum(100)
ASV00630;Fungi(100);Ascomycota(100);Taphrinomycetes(100);Taphrinales(100);unclassified_Taphrinales(100);unclassified_Taphrinales(100);Taphrinales_sp(100)
ASV00631;Fungi(100);Ascomycota(100);Leotiomycetes(100);Helotiales(100);Helotiaceae(96);Tetracladium(96);unclassified
ASV00632;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);Didymellaceae(100);Neoascochyta(100);Neoascochyta_desmazieri(98)
ASV00633;Fungi(100);Ascomycota(100);Sordariomycetes(100);Microascales(100);Microascaceae(100);Gamsia(100);Gamsia_simplex(95)
ASV00634;Fungi(100);Ascomycota(100);Dothideomycetes(100);Capnodiales(100);Cladosporiaceae(100);Cladosporium(100);Cladosporium_sphaerospermum(99)
ASV00635;Fungi(100);Ascomycota(100);Leotiomycetes(93);Helotiales(91);Helotiaceae(90);Articulospora(78);unclassified
ASV00636;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00637;Fungi(100);Ascomycota(100);Dothideomycetes(100);Pleosporales(100);Phaeosphaeriaceae(100);Paraphoma(100);Paraphoma_chrysanthemicola(100)
ASV00638;Fungi(99);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00639;Fungi(100);Basidiomycota(62);unclassified;unclassified;unclassified;unclassified;unclassified
